New Features	新功能
'{0}' was written to '{1}' but Penumbra would not take it. Rediscovering mods in Penumbra should pick it up.	「{0}」已写入「{1}」，但 Penumbra 没有接受它。在 Penumbra 中重新扫描模组即可加载。
'{0}' was created. Enable it in Penumbra when you want it.	「{0}」已创建。需要时在 Penumbra 中启用它。
'{0}' was created, but no collection is assigned to your character, so it is off.	「{0}」已创建，但你的角色没有分配集合，因此它是关闭的。
'{0}' was created, but Penumbra would not switch it on in {1}.	「{0}」已创建，但 Penumbra 无法在 {1} 中启用它。
'{0}' was created and switched on in {1}.	「{0}」已创建，并已在 {1} 中启用。
{0} can never be a swap target (pose, facial expression, per-job emote or weapon drawn). It is always skipped.	{0} 永远不能作为替换目标（姿势、表情、职业专属动作，或会拔出武器）。它会被始终跳过。
Your mod \"{0}\" already changes {1}. Your \"Emotes your mods change\" setting still applies.	你的模组「{0}」已经修改了 {1}，你的「被模组修改的情感动作」设置仍然适用。
{0} has an adjust variant for use on someone. {1} has none. Targeting someone keeps {2}'s animation.	{0} 对他人使用时有一套单独的动画（adjust 变体），而 {1} 没有。选中他人时仍会播放 {2} 的动画。
When you target someone, {0} {1} while {2} {3}.	当你选中他人时，{0}{1}，而 {2}{3}。
{0} has no intro and {1} has one. The intro will not play.	{0} 没有开场动作，而 {1} 有，因此开场动作不会播放。
a mod changes it and your settings block modded emotes	有模组修改了它，而你的设置屏蔽了模组情感动作
Something went wrong. Nothing was created. The log has the details.	出了点问题，没有创建任何内容。详情见日志。
/{0} cannot be played over /{1}. They share no posture.	/{0} 无法覆盖 /{1}：两者没有共同的姿态。
'{0}' was written to '{1}'. Penumbra did not load it. Rediscover mods in Penumbra to pick it up.	「{0}」已写入「{1}」，但 Penumbra 没有加载它。在 Penumbra 中重新扫描模组即可加载。
'{0}' was created. No collection is assigned to your character. The mod is off.	「{0}」已创建，但你的角色没有分配集合，因此模组处于关闭状态。
'{0}' was created. Penumbra could not enable it in {1}.	「{0}」已创建，但 Penumbra 无法在 {1} 中启用它。
Could not swap /{0}. None of its override targets can be played right now.	无法替换 /{0}：它的覆写目标目前都无法播放。
Your character is mounted. There is no idle pose to borrow.	你的角色正在骑乘，没有可借用的待机动作。
Your idle 0 pose has no intro. This emote's intro will not play. Try changing pose.	你的待机 0 号姿势没有开场动作，因此该情感动作的开场不会播放。请尝试更换姿势。
Bypass Emote needs Penumbra {0} or newer. Update Penumbra (its interface reads {1}.{2}).	Bypass Emote 需要 Penumbra {0} 或更高版本。请更新 Penumbra（当前接口版本为 {1}.{2}）。
Use Emote Swap	使用表情替换
Keep Direct Play	保留直接播放
A safer way to play locked emotes	更安全地播放未解锁情感动作
Until now Bypass Emote forced the animation onto your character from your own client. Nothing was ever sent to the server, but in specific cases, where your character would be in any pose other than the base one, the game client would send duplicate change pose packets to the server. This is not caused by the plugin itself, but rather by how the game handles pose changes. The \"Idle Animation Delay\" setting in the game's Character Configuration > Control Settings > Character tab is what causes this.	在此之前，Bypass Emote 是在你自己的客户端里把动画强制套用到角色身上的。任何内容都不会发送到服务器，但在特定情况下——当你的角色处于基础姿势以外的其他姿势时——游戏客户端会向服务器重复发送变更姿势的封包。这并不是插件本身造成的，而是游戏处理姿势变更的方式所致。真正的原因是游戏「角色配置 > 操作设置 > 角色」标签页中的「待机动作延迟」设置。
The new mode uses Penumbra to swap locked emotes onto unlocked ones. The game plays the emote itself. Nothing mismatches between the game and the server anymore.	新模式通过 Penumbra 把未解锁的情感动作替换成已解锁的。情感动作由游戏本身播放，游戏与服务器之间不会再出现任何不一致。
You can change this at any time in the settings.	你可以随时在设置中更改。
Assign {0} to hotbar...	将 {0} 绑定到热键栏...
Hotbar	热键栏
Currently assigned: {0}	当前已绑定：{0}
This slot is empty. You can safely assign an emote.	此格子为空，可以安全地绑定情感动作。
Slot {0} - Empty	热键栏格子 {0} - 空
Slot {0} - {1}	热键栏格子 {0} - {1}
You can also drag and drop an emote from the main window onto any visible hotbar slot.	你也可以把主窗口中的情感动作拖放到任意可见的热键栏格子上。
